"","NAME","YEAR","TOTAL_CRIMES"
"1","ANDAMAN & NICOBAR ISLANDS",2001,1316
"2","ANDAMAN & NICOBAR ISLANDS",2002,1216
"3","ANDAMAN & NICOBAR ISLANDS",2003,1288
"4","ANDAMAN & NICOBAR ISLANDS",2004,1496
"5","ANDAMAN & NICOBAR ISLANDS",2005,1364
"6","ANDAMAN & NICOBAR ISLANDS",2006,1352
"7","ANDAMAN & NICOBAR ISLANDS",2007,1614
"8","ANDAMAN & NICOBAR ISLANDS",2008,1764
"9","ANDAMAN & NICOBAR ISLANDS",2009,1882
"10","ANDAMAN & NICOBAR ISLANDS",2010,1960
"11","ANDAMAN & NICOBAR ISLANDS",2011,1586
"12","ANDAMAN & NICOBAR ISLANDS",2012,1366
"13","ANDHRA PRADESH",2001,260178
"14","ANDHRA PRADESH",2002,287220
"15","ANDHRA PRADESH",2003,313902
"16","ANDHRA PRADESH",2004,317512
"17","ANDHRA PRADESH",2005,314246
"18","ANDHRA PRADESH",2006,347818
"19","ANDHRA PRADESH",2007,350174
"20","ANDHRA PRADESH",2008,358550
"21","ANDHRA PRADESH",2009,360882
"22","ANDHRA PRADESH",2010,362876
"23","ANDHRA PRADESH",2011,379560
"24","ANDHRA PRADESH",2012,385044
"25","ARUNACHAL PRADESH",2001,4684
"26","ARUNACHAL PRADESH",2002,4456
"27","ARUNACHAL PRADESH",2003,4122
"28","ARUNACHAL PRADESH",2004,4512
"29","ARUNACHAL PRADESH",2005,4608
"30","ARUNACHAL PRADESH",2006,4588
"31","ARUNACHAL PRADESH",2007,4572
"32","ARUNACHAL PRADESH",2008,4748
"33","ARUNACHAL PRADESH",2009,4724
"34","ARUNACHAL PRADESH",2010,4878
"35","ARUNACHAL PRADESH",2011,4572
"36","ARUNACHAL PRADESH",2012,4840
"37","ASSAM",2001,73754
"38","ASSAM",2002,72692
"39","ASSAM",2003,76390
"40","ASSAM",2004,81350
"41","ASSAM",2005,84012
"42","ASSAM",2006,87346
"43","ASSAM",2007,90564
"44","ASSAM",2008,106666
"45","ASSAM",2009,110626
"46","ASSAM",2010,123336
"47","ASSAM",2011,133428
"48","ASSAM",2012,155364
"49","BIHAR",2001,176864
"50","BIHAR",2002,188080
"51","BIHAR",2003,184526
"52","BIHAR",2004,216120
"53","BIHAR",2005,195700
"54","BIHAR",2006,201330
"55","BIHAR",2007,218840
"56","BIHAR",2008,245338
"57","BIHAR",2009,245862
"58","BIHAR",2010,254906
"59","BIHAR",2011,271792
"60","BIHAR",2012,293228
"61","CHANDIGARH",2001,6794
"62","CHANDIGARH",2002,7612
"63","CHANDIGARH",2003,5612
"64","CHANDIGARH",2004,5778
"65","CHANDIGARH",2005,6266
"66","CHANDIGARH",2006,6252
"67","CHANDIGARH",2007,7286
"68","CHANDIGARH",2008,7862
"69","CHANDIGARH",2009,7110
"70","CHANDIGARH",2010,6746
"71","CHANDIGARH",2011,7084
"72","CHANDIGARH",2012,7212
"73","CHHATTISGARH",2001,76920
"74","CHHATTISGARH",2002,75900
"75","CHHATTISGARH",2003,76898
"76","CHHATTISGARH",2004,83854
"77","CHHATTISGARH",2005,87266
"78","CHHATTISGARH",2006,90354
"79","CHHATTISGARH",2007,91690
"80","CHHATTISGARH",2008,102884
"81","CHHATTISGARH",2009,102740
"82","CHHATTISGARH",2010,109916
"83","CHHATTISGARH",2011,114436
"84","CHHATTISGARH",2012,109196
"85","DADRA & NAGAR HAVELI",2001,700
"86","DADRA & NAGAR HAVELI",2002,698
"87","DADRA & NAGAR HAVELI",2003,676
"88","DADRA & NAGAR HAVELI",2004,818
"89","DADRA & NAGAR HAVELI",2005,868
"90","DADRA & NAGAR HAVELI",2006,870
"91","DADRA & NAGAR HAVELI",2007,850
"92","DADRA & NAGAR HAVELI",2008,802
"93","DADRA & NAGAR HAVELI",2009,884
"94","DADRA & NAGAR HAVELI",2010,756
"95","DADRA & NAGAR HAVELI",2011,744
"96","DADRA & NAGAR HAVELI",2012,636
"97","DAMAN & DIU",2001,478
"98","DAMAN & DIU",2002,522
"99","DAMAN & DIU",2003,538
"100","DAMAN & DIU",2004,396
"101","DAMAN & DIU",2005,486
"102","DAMAN & DIU",2006,576
"103","DAMAN & DIU",2007,520
"104","DAMAN & DIU",2008,496
"105","DAMAN & DIU",2009,552
"106","DAMAN & DIU",2010,406
"107","DAMAN & DIU",2011,448
"108","DAMAN & DIU",2012,478
"109","DELHI",2001,108768
"110","DELHI",2002,98274
"111","DELHI",2003,94808
"112","DELHI",2004,107246
"113","DELHI",2005,112130
"114","DELHI",2006,115926
"115","DELHI",2007,112130
"116","DELHI",2008,98700
"117","DELHI",2009,100502
"118","DELHI",2010,102584
"119","DELHI",2011,106706
"120","DELHI",2012,108574
"121","GOA",2001,4682
"122","GOA",2002,4880
"123","GOA",2003,4488
"124","GOA",2004,4254
"125","GOA",2005,4238
"126","GOA",2006,4408
"127","GOA",2007,4958
"128","GOA",2008,5484
"129","GOA",2009,6010
"130","GOA",2010,6586
