"","NAME","YEAR","TOTAL_POP"
"1","WEST BENGAL",2001,80176197
"2","UTTAR PRADESH",2001,166197921
"3","TRIPURA",2001,3199203
"4","TAMIL NADU",2001,62405679
"5","SIKKIM",2001,540851
"6","RAJASTHAN",2001,56507188
"7","PUDUCHERRY",2001,974345
"8","PUNJAB",2001,24358999
"9","ODISHA",2001,36804660
"10","NAGALAND",2001,1990036
"11","MANIPUR",2001,2166788
"12","MIZORAM",2001,888573
"13","MEGHALAYA",2001,2318822
"14","MAHARASHTRA",2001,96878627
"15","MADHYA PRADESH",2001,60348023
"16","LAKSHADWEEP",2001,60650
"17","KERALA",2001,31841374
"18","KARNATAKA",2001,52850562
"19","JHARKHAND",2001,26945829
"20","JAMMU & KASHMIR",2001,10143700
"21","HIMACHAL PRADESH",2001,6077900
"22","HARYANA",2001,21144564
"23","GOA",2001,1347668
"24","GUJARAT",2001,50671017
"25","DELHI",2001,13850507
"26","DAMAN & DIU",2001,158204
"27","DADRA & NAGAR HAVELI",2001,220490
"28","CHHATTISGARH",2001,20833803
"29","CHANDIGARH",2001,900635
"30","BIHAR",2001,82998509
"31","ANDHRA PRADESH",2001,76210007
"32","ASSAM",2001,26655528
"33","ARUNACHAL PRADESH",2001,1097968
"34","ANDAMAN & NICOBAR ISLANDS",2001,356152
"35","UTTARAKHAND",2001,0
"36","ANDAMAN & NICOBAR ISLANDS",2002,356152
"37","ANDHRA PRADESH",2002,76210007
"38","ARUNACHAL PRADESH",2002,1097968
"39","ASSAM",2002,26655528
"40","BIHAR",2002,82998509
"41","CHANDIGARH",2002,900635
"42","CHHATTISGARH",2002,20833803
"43","DADRA & NAGAR HAVELI",2002,220490
"44","DAMAN & DIU",2002,158204
"45","GOA",2002,1347668
"46","GUJARAT",2002,50671017
"47","HARYANA",2002,21144564
"48","HIMACHAL PRADESH",2002,6077900
"49","JAMMU & KASHMIR",2002,10143700
"50","JHARKHAND",2002,26945829
"51","KARNATAKA",2002,52850562
"52","KERALA",2002,31841374
"53","LAKSHADWEEP",2002,60650
"54","MADHYA PRADESH",2002,60348023
"55","MAHARASHTRA",2002,96878627
"56","MANIPUR",2002,2166788
"57","MEGHALAYA",2002,2318822
"58","MIZORAM",2002,888573
"59","NAGALAND",2002,1990036
"60","DELHI",2002,13850507
"61","ODISHA",2002,36804660
"62","PUDUCHERRY",2002,974345
"63","PUNJAB",2002,24358999
"64","RAJASTHAN",2002,56507188
"65","SIKKIM",2002,540851
"66","TAMIL NADU",2002,62405679
"67","TRIPURA",2002,3199203
"68","UTTAR PRADESH",2002,166197921
"69","WEST BENGAL",2002,80176197
"70","ANDAMAN & NICOBAR ISLANDS",2003,356152
"71","ANDHRA PRADESH",2003,76210007
"72","ARUNACHAL PRADESH",2003,1097968
"73","ASSAM",2003,26655528
"74","BIHAR",2003,82998509
"75","CHANDIGARH",2003,900635
"76","CHHATTISGARH",2003,20833803
"77","DADRA & NAGAR HAVELI",2003,220490
"78","DAMAN & DIU",2003,158204
"79","GOA",2003,1347668
"80","GUJARAT",2003,50671017
"81","HARYANA",2003,21144564
"82","HIMACHAL PRADESH",2003,6077900
"83","JAMMU & KASHMIR",2003,10143700
"84","JHARKHAND",2003,26945829
"85","KARNATAKA",2003,52850562
"86","KERALA",2003,31841374
"87","LAKSHADWEEP",2003,60650
"88","MADHYA PRADESH",2003,60348023
"89","MAHARASHTRA",2003,96878627
"90","MANIPUR",2003,2166788
"91","MEGHALAYA",2003,2318822
"92","MIZORAM",2003,888573
"93","NAGALAND",2003,1990036
"94","DELHI",2003,13850507
"95","ODISHA",2003,36804660
"96","PUDUCHERRY",2003,974345
"97","PUNJAB",2003,24358999
"98","RAJASTHAN",2003,56507188
"99","SIKKIM",2003,540851
"100","TAMIL NADU",2003,62405679
"101","TRIPURA",2003,3199203
"102","UTTAR PRADESH",2003,166197921
"103","WEST BENGAL",2003,80176197
"104","ANDAMAN & NICOBAR ISLANDS",2004,356152
"105","ANDHRA PRADESH",2004,76210007
"106","ARUNACHAL PRADESH",2004,1097968
"107","ASSAM",2004,26655528
"108","BIHAR",2004,82998509
"109","CHANDIGARH",2004,900635
"110","CHHATTISGARH",2004,20833803
"111","DADRA & NAGAR HAVELI",2004,220490
"112","DAMAN & DIU",2004,158204
"113","GOA",2004,1347668
"114","GUJARAT",2004,50671017
"115","HARYANA",2004,21144564
"116","HIMACHAL PRADESH",2004,6077900
"117","JAMMU & KASHMIR",2004,10143700
"118","JHARKHAND",2004,26945829
"119","KARNATAKA",2004,52850562
"120","KERALA",2004,31841374
"121","LAKSHADWEEP",2004,60650
"122","MADHYA PRADESH",2004,60348023
"123","MAHARASHTRA",2004,96878627
"124","MANIPUR",2004,2166788
"125","MEGHALAYA",2004,2318822
"126","MIZORAM",2004,888573
"127","NAGALAND",2004,1990036
"128","DELHI",2004,13850507
"129","ODISHA",2004,36804660
"130","PUDUCHERRY",2004,974345
"131","PUNJAB",2004,24358999
"132","RAJASTHAN",2004,56507188
"133","SIKKIM",2004,540851
"134","TAMIL NADU",2004,62405679
"135","TRIPURA",2004,3199203
"136","UTTAR PRADESH",2004,166197921
"137","WEST BENGAL",2004,80176197
"138","ANDAMAN & NICOBAR ISLANDS",2005,356152
"139","ANDHRA PRADESH",2005,76210007
"140","ARUNACHAL PRADESH",2005,1097968
"141","ASSAM",2005,26655528
"142","BIHAR",2005,82998509
"143","CHANDIGARH",2005,900635
"144","CHHATTISGARH",2005,20833803
"145","DADRA & NAGAR HAVELI",2005,220490
"146","DAMAN & DIU",2005,158204
"147","GOA",2005,1347668
"148","GUJARAT",2005,50671017
"149","HARYANA",2005,21144564
"150","HIMACHAL PRADESH",2005,6077900
"151","JAMMU & KASHMIR",2005,10143700
"152","JHARKHAND",2005,26945829
"153","KARNATAKA",2005,52850562
"154","KERALA",2005,31841374
"155","LAKSHADWEEP",2005,60650
"156","MADHYA PRADESH",2005,60348023
"157","MAHARASHTRA",2005,96878627
"158","MANIPUR",2005,2166788
"159","MEGHALAYA",2005,2318822
"160","MIZORAM",2005,888573
"161","NAGALAND",2005,1990036
"162","DELHI",2005,13850507
"163","ODISHA",2005,36804660
"164","PUDUCHERRY",2005,974345
"165","PUNJAB",2005,24358999
"166","RAJASTHAN",2005,56507188
"167","SIKKIM",2005,540851
"168","TAMIL NADU",2005,62405679
"169","TRIPURA",2005,3199203
"170","UTTAR PRADESH",2005,166197921
"171","WEST BENGAL",2005,80176197
"172","ANDAMAN & NICOBAR ISLANDS",2006,356152
"173","ANDHRA PRADESH",2006,76210007
"174","ARUNACHAL PRADESH",2006,1097968
"175","ASSAM",2006,26655528
"176","BIHAR",2006,82998509
"177","CHANDIGARH",2006,900635
"178","CHHATTISGARH",2006,20833803
"179","DADRA & NAGAR HAVELI",2006,220490
"180","DAMAN & DIU",2006,158204
"181","GOA",2006,1347668
"182","GUJARAT",2006,50671017
"183","HARYANA",2006,21144564
"184","HIMACHAL PRADESH",2006,6077900
"185","JAMMU & KASHMIR",2006,10143700
"186","JHARKHAND",2006,26945829
"187","KARNATAKA",2006,52850562
"188","KERALA",2006,31841374
"189","LAKSHADWEEP",2006,60650
"190","MADHYA PRADESH",2006,60348023
"191","MAHARASHTRA",2006,96878627
"192","MANIPUR",2006,2166788
"193","MEGHALAYA",2006,2318822
"194","MIZORAM",2006,888573
"195","NAGALAND",2006,1990036
"196","DELHI",2006,13850507
"197","ODISHA",2006,36804660
"198","PUDUCHERRY",2006,974345
"199","PUNJAB",2006,24358999
"200","RAJASTHAN",2006,56507188
"201","SIKKIM",2006,540851
"202","TAMIL NADU",2006,62405679
"203","TRIPURA",2006,3199203
"204","UTTAR PRADESH",2006,166197921
"205","WEST BENGAL",2006,80176197
"206","ANDAMAN & NICOBAR ISLANDS",2007,356152
"207","ANDHRA PRADESH",2007,76210007
"208","ARUNACHAL PRADESH",2007,1097968
"209","ASSAM",2007,26655528
"210","BIHAR",2007,82998509
"211","CHANDIGARH",2007,900635
"212","CHHATTISGARH",2007,20833803
"213","DADRA & NAGAR HAVELI",2007,220490
"214","DAMAN & DIU",2007,158204
"215","GOA",2007,1347668
"216","GUJARAT",2007,50671017
"217","HARYANA",2007,21144564
"218","HIMACHAL PRADESH",2007,6077900
"219","JAMMU & KASHMIR",2007,10143700
"220","JHARKHAND",2007,26945829
"221","KARNATAKA",2007,52850562
"222","KERALA",2007,31841374
"223","LAKSHADWEEP",2007,60650
"224","MADHYA PRADESH",2007,60348023
"225","MAHARASHTRA",2007,96878627
"226","MANIPUR",2007,2166788
"227","MEGHALAYA",2007,2318822
"228","MIZORAM",2007,888573
"229","NAGALAND",2007,1990036
"230","DELHI",2007,13850507
"231","ODISHA",2007,36804660
"232","PUDUCHERRY",2007,974345
"233","PUNJAB",2007,24358999
"234","RAJASTHAN",2007,56507188
"235","SIKKIM",2007,540851
"236","TAMIL NADU",2007,62405679
"237","TRIPURA",2007,3199203
"238","UTTAR PRADESH",2007,166197921
"239","WEST BENGAL",2007,80176197
"240","ANDAMAN & NICOBAR ISLANDS",2008,356152
"241","ANDHRA PRADESH",2008,76210007
"242","ARUNACHAL PRADESH",2008,1097968
"243","ASSAM",2008,26655528
"244","BIHAR",2008,82998509
"245","CHANDIGARH",2008,900635
"246","CHHATTISGARH",2008,20833803
"247","DADRA & NAGAR HAVELI",2008,220490
"248","DAMAN & DIU",2008,158204
"249","GOA",2008,1347668
"250","GUJARAT",2008,50671017
"251","HARYANA",2008,21144564
"252","HIMACHAL PRADESH",2008,6077900
"253","JAMMU & KASHMIR",2008,10143700
"254","JHARKHAND",2008,26945829
"255","KARNATAKA",2008,52850562
"256","KERALA",2008,31841374
"257","LAKSHADWEEP",2008,60650
"258","MADHYA PRADESH",2008,60348023
