"","NAME","AREA"
"1","RAJASTHAN","342,239"
"2","MADHYA PRADESH","308,252"
"3","MAHARASHTRA","307,713"
"4","UTTAR PRADESH","240,928"
"5","GUJARAT","196,244"
"6","KARNATAKA","191,791"
"8","ANDHRA PRADESH","162,970"
"9","ODISHA","155,707"
"10","CHHATTISGARH","135,192"
"11","TAMIL NADU","130,060"
"13","BIHAR","94,163"
"14","WEST BENGAL","88,752"
"15","ARUNACHAL PRADESH","83,743"
"16","JHARKHAND","79,716"
"17","ASSAM","78,438"
"18","HIMACHAL PRADESH","55,673"
"19","JAMMU & KASHMIR","55,538"
"20","UTTARAKHAND","53,483"
"21","PUNJAB","50,362"
"22","HARYANA","44,212"
"23","KERALA","38,852"
"24","MEGHALAYA","22,429"
"25","MANIPUR","22,327"
"26","MIZORAM","21,081"
"27","NAGALAND","16,579"
"28","TRIPURA","10,486"
"29","ANDAMAN & NICOBAR ISLANDS","8,249"
"30","SIKKIM","7,096"
"31","GOA","3,702"
"32","DELHI","1,483"
"33","DADRA & NAGAR HAVELI","491"
"34","PUDUCHERRY","490"
"35","CHANDIGARH","114"
"36","LAKSHADWEEP","32"
"110","DAMAN & DIU","112"
